"name","sport","height","weight","age","link","img","gender"
"Becky Sauerbrunn","soccer",67,140,31.186301369863,"http://www.teamusa.org/us-soccer/athletes/Becky-Sauerbrunn","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Soccer/Sauerbrunn_Becky_150x250.jpg","F"
"Beezie Madden","equestrian",66,140,52.7452054794521,"http://www.teamusa.org/us-equestrian/athletes/Elizabeth-Beezie-Madden","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/madden_beezie_150x250.jpg","F"
"Ben Hallock","water polo",78,235,18.7150684931507,"http://www.teamusa.org/usa-water-polo/athletes/Ben-Hallock","http://www.teamusa.org/~/media/TeamUSA/WaterPolo/Misc/Hallock_Ben_150x250_1.jpg","M"
"Ben Kanute","triathlon",72,155,23.6575342465753,"https://www.teamusa.org/usa-triathlon/athletes/Ben-Kanute","http://www.teamusa.org/~/media/USA_Triathlon/Images/Athletes/Ben_Kanute_2015.jpg","M"
"Ben Pinkelman","rugby",76,220,22.1616438356164,"http://www.teamusa.org/usa-rugby/athletes/Ben-Pinkelman","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/pinkelman_ben_150x250_2.jpg","M"
"Ben Provisor","wrestling",68,195,26.1287671232877,"http://www.teamusa.org/usa-wrestling/athletes/Ben-Provisor","http://www.teamusa.org/~/media/USA_Wrestling/Athlete-Bios/BenProvisor150x250.jpg","M"
"Bernard Lagat","track and field",68,130,41.6767123287671,"http://www.teamusa.org/usa-track-and-field/athletes/Bernard-Lagat","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/Lagat_Bernard_150x250.jpg","M"
"Bethanie Mattek-Sands","tennis",66,145,31.3917808219178,"http://www.teamusa.org/usa-tennis/athletes/Bethanie-Mattek-Sands","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/MattekSands_Bethanie_150x250.jpg","F"
"Blake Pieroni","swimming",74,190,20.7369863013699,"http://www.teamusa.org/usa-swimming/athletes/Blake-Pieroni","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Pieroni_Blake_150x250.jpg","M"
"Bob Bryan","tennis",75,195,38.2958904109589,"http://www.teamusa.org/usa-tennis/athletes/Bob-Bryan","http://www.teamusa.org/~/media/TeamUSA/Images/11Hopefuls/BryanB_tennis_120x187.jpg","M"
"Bobby Lea","cycling",74,170,32.8246575342466,"http://www.teamusa.org/usa-cycling/athletes/Bobby-Lea","http://www.teamusa.org/~/media/TeamUSA/Images/11Hopefuls/Lea_Bobby_150x250.jpg","F"
"Bora Gulari","sailing",71,165,40.8164383561644,"http://www.teamusa.org/us-sailing/athletes/Bora-Gulari","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Gulari_Bora_150x250.jpg","M"
"Boyd Martin","equestrian",74,175,36.986301369863,"http://www.teamusa.org/us-equestrian/athletes/Boyd-Martin","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Equestrian/Equestrian_Eventing_Martin_Boyd.jpg","M"
"Brady Ellison","archery",71,190,27.7917808219178,"http://www.teamusa.org/usa-archery/athletes/Brady-Ellison","http://www.teamusa.org/~/media/TeamUSA/Images/11Hopefuls/Ellison_B120x187.jpg","M"
"Breanna Stewart","basketball",76,175,21.9561643835616,"http://www.teamusa.org/usa-basketball/athletes/Breanna-Stewart","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Basketball-Women/Basketball_Women_Stewart_Breanna.jpg","F"
"Brent Bookwalter","cycling",71,150,32.4904109589041,"http://www.teamusa.org/usa-cycling/athletes/Brent-Bookwalter","http://www.teamusa.org/~/media/TeamUSA/Cycling/Bookwalter_Brent/Bookwalter_Brent_081815_150x250.jpg","F"
"Bret Bonanni","water polo",76,205,22.5561643835616,"http://www.teamusa.org/usa-water-polo/athletes/Bret-Bonanni","http://www.teamusa.org/~/media/TeamUSA/Headshots/Pam-Am-Games-2015/Water-Polo-Men/Water_Polo_Men_Bonanni_Bret.jpg","M"
"Briana Provancha","sailing",67,147,27.2986301369863,"http://www.teamusa.org/us-sailing/athletes/Briana-Provancha","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Provancha_Briana_150x250.jpg","F"
"Brittany Borman","track and field",72,170,27.1150684931507,"http://www.teamusa.org/usa-track-and-field/athletes/Brittany-Borman","http://www.teamusa.org/~/media/USA_Paralympics/Headshots/bormanhead.jpg","F"
"Brittney Griner","basketball",80,208,25.8164383561644,"http://www.teamusa.org/usa-basketball/athletes/Brittney_Griner","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Griner_Brittney_150x250.jpg","F"
"Brittney Reese","track and field",68,136,29.9260273972603,"http://www.teamusa.org/usa-track-and-field/athletes/Brittney-Reese","http://www.teamusa.org/~/media/TeamUSA/Images/11Hopefuls/Reese_B120x187.jpg","F"
"Brooke Crain","cycling",64,123,23.2849315068493,"http://www.teamusa.org/usa-cycling/athletes/Brooke-Crain","http://www.teamusa.org/~/media/TeamUSA/Cycling/brooke_crain_150x250.jpg","M"
"Brooke Sweat","volleyball",68,154,30.3808219178082,"http://www.teamusa.org/usa-volleyball/athletes/Brooke-Sweat","http://www.teamusa.org/~/media/USA_Volleyball/Images/Athlete-Head-Shots/Beach-Volleyball/Web-BrookeSweat.jpg","F"
"Bubba Watson","golf",75,180,37.7753424657534,"http://www.teamusa.org/usa-golf/athletes/Bubba-Watson","http://www.teamusa.org/~/media/USA_Golf/headshots/Watson_Bubba_15BAR2.jpg","M"
"Bui Baravilala","rugby",66,165,25.0849315068493,"http://www.teamusa.org/usa-rugby/athletes/Bui-Baravilala","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicHopefuls/baravilala_bui_150x250_2.jpg","F"
"Caeleb Dressel","swimming",75,190,19.9835616438356,"http://www.teamusa.org/usa-swimming/athletes/Caeleb-Dressel","http://www.teamusa.org/~/media/TeamUSA/Headshots/2016OlympicTeam/Swimming/Dressel_Caeleb_150x250.jpg","M"
"Caitlin Van Sickle","field hockey",65,130,26.5424657534247,"http://www.teamusa.org/usa-field-hockey/athletes/Caitlin-Van-Sickle","http://www.teamusa.org/~/media/USA_Field_Hockey/2015-USWNT/2015-16-Headshots/VanSickle_150x225.jpg","F"
"Caleb Paine","sailing",75,215,25.7397260273973,"http://www.teamusa.org/us-sailing/athletes/Caleb-Paine","http://www.teamusa.org/~/media/TeamUSA/RioHeadshots/Paine_Caleb_150x250.jpg","M"
